StudyMode,Session,SessionDate,SessionBarOrdinal,Bar,ChartTimeFrame,Italy,London,UTC,NewYork,Open,High,Low,Close,CandleVolume,BidVolume,AskVolume,Delta,DeltaImbalance,MaxBidAtPrice,MaxAskAtPrice,CumulativeTradeCount,CumulativeBuyVolume,CumulativeSellVolume,CumulativeDelta,MaxCumulativeBuy,MaxCumulativeSell,CumulativeTradeCoverage,PriceChange,CloseLocation,EffortResult,PriorProfileBars,PriorPOC,PriorVAH,PriorVAL,PriorProfileRelation,DevelopingPOC,DevelopingVAH,DevelopingVAL,DevelopingProfileRelation,Prior6Range,Prior6Efficiency,Prior12Range,Prior12Efficiency,RangeToPrior12Median,OverlapWithPrevious,RollingProfileBars,RollingPOC,RollingVAH,RollingVAL,PriorSessionLvnBelow,PriorSessionLvnBelowVolumePercentile,PriorSessionLvnAbove,PriorSessionLvnAboveVolumePercentile,PriorRollingLvnBelow,PriorRollingLvnBelowVolumePercentile,PriorRollingLvnAbove,PriorRollingLvnAboveVolumePercentile,FlowSource,OperationalEntry,OrderSubmitted
DUAL_SESSION_AUCTION_STATE_LEDGER_NO_TRADES,LONDON,2026-07-02,1,108,M5,2026-07-02 09:04:59,2026-07-02 08:04:59,2026-07-02 07:04:59,2026-07-02 03:04:59,29921.25,29937.5,29900.5,29912.5,1076.0,476.0,600.0,124.0,0.115242,13.0,39.0,522,600.0,476.0,124.0,33.0,18.0,AVAILABLE,-8.75,0.3243,BUY_ABSORBED,0,,,,NA,29905.5,29924.75,29900.5,INSIDE_VALUE,,,,,,,0,,,,,,,,,,,,CANDLE_FOOTPRINT|CUMULATIVE_TRADES,False,False
DUAL_SESSION_AUCTION_STATE_LEDGER_NO_TRADES,LONDON,2026-07-02,2,109,M5,2026-07-02 09:09:59,2026-07-02 08:09:59,2026-07-02 07:09:59,2026-07-02 03:09:59,29915.0,29915.25,29879.5,29881.75,1034.0,600.0,434.0,-166.0,-0.160542,21.0,13.0,484,434.0,600.0,-166.0,7.0,26.0,AVAILABLE,-33.25,0.0629,SELL_WITH_RESULT,1,29905.5,29924.75,29900.5,BELOW_VAL,29907.75,29921.0,29888.0,BELOW_VAL,37.0,1.0,37.0,1.0,0.9662,0.4126,1,29905.5,29924.75,29900.5,,,29902.0,0.0638,,,29902.0,0.0638,CANDLE_FOOTPRINT|CUMULATIVE_TRADES,False,False
DUAL_SESSION_AUCTION_STATE_LEDGER_NO_TRADES,LONDON,2026-07-02,3,110,M5,2026-07-02 09:14:59,2026-07-02 08:14:59,2026-07-02 07:14:59,2026-07-02 03:14:59,29882.75,29899.5,29832.25,29833.0,1493.0,822.0,671.0,-151.0,-0.101139,25.0,16.0,653,671.0,822.0,-151.0,40.0,54.0,AVAILABLE,-49.75,0.0112,SELL_WITH_RESULT,2,29907.75,29921.0,29888.0,BELOW_VAL,29892.0,29905.5,29832.25,INSIDE_VALUE,58.0,1.0,58.0,1.0,1.8488,0.2974,2,29907.75,29921.0,29888.0,,,29880.75,0.2284,,,29880.75,0.2284,CANDLE_FOOTPRINT|CUMULATIVE_TRADES,False,False
DUAL_SESSION_AUCTION_STATE_LEDGER_NO_TRADES,LONDON,2026-07-02,4,111,M5,2026-07-02 09:19:56,2026-07-02 08:19:56,2026-07-02 07:19:56,2026-07-02 03:19:56,29836.75,29872.75,29826.25,29845.25,1193.0,558.0,635.0,77.0,0.064543,15.0,15.0,575,635.0,558.0,77.0,25.0,20.0,AVAILABLE,8.5,0.4086,BUY_WITH_RESULT,3,29892.0,29905.5,29832.25,INSIDE_VALUE,29841.0,29897.0,29826.25,INSIDE_VALUE,105.25,1.0,105.25,1.0,1.2568,0.871,3,29892.0,29905.5,29832.25,29844.75,0.6675,29845.75,0.6675,29844.75,0.6675,29845.75,0.6675,CANDLE_FOOTPRINT|CUMULATIVE_TRADES,False,False
DUAL_SESSION_AUCTION_STATE_LEDGER_NO_TRADES,LONDON,2026-07-02,5,112,M5,2026-07-02 09:24:59,2026-07-02 08:24:59,2026-07-02 07:24:59,2026-07-02 03:24:59,29844.25,29862.5,29831.25,29851.5,634.0,289.0,345.0,56.0,0.088328,17.0,11.0,360,345.0,289.0,56.0,52.0,13.0,AVAILABLE,7.25,0.648,BUY_WITH_RESULT,4,29841.0,29897.0,29826.25,INSIDE_VALUE,29841.0,29894.0,29826.25,INSIDE_VALUE,111.25,0.7562,111.25,0.7562,0.7485,1.0,4,29841.0,29897.0,29826.25,29851.25,0.1613,29851.75,0.5783,29851.25,0.1613,29851.75,0.5783,CANDLE_FOOTPRINT|CUMULATIVE_TRADES,False,False
DUAL_SESSION_AUCTION_STATE_LEDGER_NO_TRADES,LONDON,2026-07-02,6,113,M5,2026-07-02 09:29:58,2026-07-02 08:29:58,2026-07-02 07:29:58,2026-07-02 03:29:58,29847.5,29867.75,29826.5,29863.75,633.0,281.0,352.0,71.0,0.112164,12.0,12.0,348,352.0,281.0,71.0,29.0,7.0,AVAILABLE,16.25,0.903,BUY_WITH_RESULT,5,29841.0,29894.0,29826.25,INSIDE_VALUE,29841.0,29891.25,29826.25,INSIDE_VALUE,111.25,0.6534,111.25,0.6534,1.1149,0.7576,5,29841.0,29894.0,29826.25,29863.0,0.1959,29864.25,0.1959,29863.0,0.1959,29864.25,0.1959,CANDLE_FOOTPRINT|CUMULATIVE_TRADES,False,False
DUAL_SESSION_AUCTION_STATE_LEDGER_NO_TRADES,LONDON,2026-07-02,7,114,M5,2026-07-02 09:34:59,2026-07-02 08:34:59,2026-07-02 07:34:59,2026-07-02 03:34:59,29866.0,29887.0,29858.75,29886.0,1134.0,578.0,556.0,-22.0,-0.0194,100.0,19.0,425,556.0,578.0,-22.0,35.0,65.0,AVAILABLE,20.0,0.9646,SELL_ABSORBED,6,29841.0,29891.25,29826.25,INSIDE_VALUE,29884.5,29899.5,29839.0,INSIDE_VALUE,111.25,0.4832,111.25,0.4832,0.722,0.3186,6,29841.0,29891.25,29826.25,29885.75,0.2517,29886.25,0.659,29885.75,0.2517,29886.25,0.659,CANDLE_FOOTPRINT|CUMULATIVE_TRADES,False,False
DUAL_SESSION_AUCTION_STATE_LEDGER_NO_TRADES,LONDON,2026-07-02,8,115,M5,2026-07-02 09:39:58,2026-07-02 08:39:58,2026-07-02 07:39:58,2026-07-02 03:39:58,29886.25,29896.5,29872.25,29895.25,640.0,354.0,286.0,-68.0,-0.10625,19.0,12.0,290,286.0,354.0,-68.0,18.0,55.0,AVAILABLE,9.0,0.9485,SELL_ABSORBED,7,29884.5,29899.5,29839.0,INSIDE_VALUE,29884.5,29899.5,29840.25,INSIDE_VALUE,89.0,0.2148,111.25,0.2496,0.6554,0.6082,7,29884.5,29899.5,29839.0,29895.0,0.5596,29895.75,0.5303,29895.0,0.5596,29895.75,0.5303,CANDLE_FOOTPRINT|CUMULATIVE_TRADES,False,False
DUAL_SESSION_AUCTION_STATE_LEDGER_NO_TRADES,LONDON,2026-07-02,9,116,M5,2026-07-02 09:44:59,2026-07-02 08:44:59,2026-07-02 07:44:59,2026-07-02 03:44:59,29895.0,29943.5,29895.0,29939.5,965.0,411.0,554.0,143.0,0.148187,18.0,49.0,491,554.0,411.0,143.0,15.0,19.0,AVAILABLE,44.5,0.9175,BUY_WITH_RESULT,8,29884.5,29899.5,29840.25,ABOVE_VAH,29884.5,29903.25,29837.0,ABOVE_VAH,73.25,0.1116,111.25,0.1728,1.3333,0.0309,8,29884.5,29899.5,29840.25,29937.0,0.0742,,,29937.0,0.0742,,,CANDLE_FOOTPRINT|CUMULATIVE_TRADES,False,False
DUAL_SESSION_AUCTION_STATE_LEDGER_NO_TRADES,LONDON,2026-07-02,10,117,M5,2026-07-02 09:49:59,2026-07-02 08:49:59,2026-07-02 07:49:59,2026-07-02 03:49:59,29939.75,29944.5,29921.75,29934.5,665.0,371.0,294.0,-77.0,-0.115789,33.0,18.0,350,294.0,371.0,-77.0,15.0,26.0,AVAILABLE,-5.25,0.5604,SELL_WITH_RESULT,9,29884.5,29903.25,29837.0,ABOVE_VAH,29884.5,29903.25,29831.0,ABOVE_VAH,117.25,1.0,117.25,0.0937,0.6149,0.956,9,29884.5,29903.25,29837.0,29934.25,0.0474,29935.25,0.0474,29934.25,0.0474,29935.25,0.0474,CANDLE_FOOTPRINT|CUMULATIVE_TRADES,False,False
